thoi_gian,mucnuocho,tongluuluongxathucte,luuluongdenho
2019-01-01 00:00:00,428.08,4.0,4.0
2019-01-01 01:00:00,428.08,4.0,4.0
2019-01-01 02:00:00,428.08,4.0,4.0
2019-01-01 03:00:00,428.08,4.0,4.0
2019-01-01 04:00:00,428.08,4.0,4.0
2019-01-01 05:00:00,428.08,4.0,4.0
2019-01-01 06:00:00,428.08,6.0,6.0
2019-01-01 07:00:00,428.08,6.0,6.0
2019-01-01 08:00:00,428.06,30.0,12.78
2019-01-01 09:00:00,428.03,30.0,4.17
2019-01-01 10:00:00,428.01,30.0,12.78
2019-01-01 11:00:00,427.98,30.0,6.94
2019-01-01 12:00:00,427.96,30.0,15.56
2019-01-01 13:00:00,427.93,30.0,8.33
2019-01-01 14:00:00,427.94,6.0,13.22
2019-01-01 15:00:00,427.95,6.0,13.22
2019-01-01 16:00:00,427.96,6.0,13.22
2019-01-01 17:00:00,427.97,6.0,13.22
2019-01-01 18:00:00,427.97,6.0,6.0
2019-01-01 19:00:00,427.97,6.0,6.0
2019-01-01 20:00:00,427.97,4.0,4.0
2019-01-01 21:00:00,427.97,4.0,4.0
2019-01-01 22:00:00,427.97,4.0,4.0
2019-01-01 23:00:00,427.97,4.0,4.0
2019-01-02 00:00:00,427.97,4.0,4.0
2019-01-02 01:00:00,427.97,4.0,4.0
2019-01-02 02:00:00,427.97,4.0,4.0
2019-01-02 03:00:00,427.97,4.0,4.0
2019-01-02 04:00:00,427.97,4.0,4.0
2019-01-02 05:00:00,427.97,4.0,4.0
2019-01-02 06:00:00,427.97,6.0,6.0
2019-01-02 07:00:00,427.97,6.0,6.0
2019-01-02 08:00:00,427.97,6.0,6.0
2019-01-02 09:00:00,427.97,6.0,6.0
2019-01-02 10:00:00,427.97,6.0,6.0
2019-01-02 11:00:00,427.97,6.0,6.0
2019-01-02 12:00:00,427.97,6.0,6.0
2019-01-02 13:00:00,427.97,6.0,6.0
2019-01-02 14:00:00,427.96,6.0,0.0
2019-01-02 15:00:00,427.96,6.0,6.0
2019-01-02 16:00:00,427.96,6.0,6.0
2019-01-02 17:00:00,427.96,6.0,6.0
2019-01-02 18:00:00,427.95,6.0,0.0
2019-01-02 19:00:00,427.95,6.0,6.0
2019-01-02 20:00:00,427.95,4.0,4.0
2019-01-02 21:00:00,427.95,4.0,4.0
