Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
428.0,5.17,5.2
428.0,5.17,5.2
428.01,5.53,5.2
428.01,5.17,5.2
427.99,3.99,5.2
427.95,3.96,5.2
427.91,3.81,5.2
427.86,3.66,5.2
427.82,4.71,5.2
427.82,4.87,5.0
427.77,4.86,7.2
427.7,4.76,4.9
427.68,4.87,5.0
427.68,4.87,5.2
427.66,4.87,5.2
427.65,4.56,5.2
427.61,3.51,5.2
427.53,2.98,5.2
427.49,3.54,5.2
427.41,3.43,5.2
427.37,4.19,5.2
427.33,3.5,5.2
427.26,3.5,5.2
427.2,3.5,5.2
427.14,3.5,5.2
427.08,3.57,5.2
427.03,3.78,5.2
426.98,3.68,5.2
426.91,3.45,5.2
426.85,3.7,5.2
426.8,3.7,5.2
426.75,4.4,5.2
426.73,4.66,5.2
426.71,4.4,5.2
426.68,4.66,5.2
426.66,4.66,5.2
426.63,4.4,5.2
426.6,4.21,5.2
426.57,4.15,5.2
426.51,3.56,5.2
426.52,3.55,5.2
426.38,3.95,5.2
426.32,3.78,5.2
426.26,3.78,5.2
426.2,3.78,5.2
426.14,3.78,5.2
426.08,3.78,5.2
426.02,3.78,5.2
425.98,3.8,5.2
425.9,3.8,5.2
425.84,3.8,5.2
425.78,3.8,5.2
425.72,3.8,5.2
425.66,3.8,5.2
425.6,3.81,5.2
425.54,3.8,5.2
425.48,3.8,5.2
425.41,3.29,5.2
425.32,3.01,5.2
425.24,3.8,5.2
425.17,3.8,5.2
425.13,7.43,5.2
425.56,18.14,5.2
426.49,29.95,5.2
427.34,26.76,7.8
427.68,16.94,8.7
428.07,26.67,8.2
428.64,14.18,5.2
428.8,10.2,5.2
428.85,6.67,9.2
428.79,7.91,9.2
428.86,8.95,5.2
428.9,4.91,5.2
428.85,5.3,8.2
428.78,7.14,11.2
428.75,8.36,8.2
428.72,9.63,10.2
428.75,8.91,9.2
428.75,9.45,9.2
428.78,6.53,5.2
428.73,5.67,9.2
428.68,6.4,9.2
428.65,9.62,9.2
428.66,9.35,9.2
428.66,8.27,8.2
428.69,7.06,5.2
428.72,4.73,5.2
428.63,1.94,5.2
428.6,4.84,6.2
428.57,4.99,5.2
428.57,4.81,5.2
428.56,4.81,5.2
428.54,4.09,5.2
428.51,3.37,5.2
428.46,6.24,5.2
428.6,12.25,8.3
428.72,12.47,8.4
428.82,10.96,8.4
428.9,10.94,8.4
428.97,10.37,11.7
428.91,5.56,5.2
428.87,4.72,5.2
428.84,3.01,5.2
428.8,3.73,5.2
428.75,2.92,5.2
